sid,school_year,race_ethnicity
1,2004,B
1,2005,H
1,2006,H
1,2007,H
2,2006,W
2,2007,B
3,2005,H
3,2006,B
3,2007,B
4,2005,B
4,2006,B
4,2007,B
5,2007,B
7,2001,B
8,2001,B
9,2001,B
9,2002,B
11,2001,B
11,2002,B
11,2003,B
12,2001,B
12,2003,B
13,2001,W
13,2002,W
13,2003,W
13,2004,W
14,2002,B
14,2003,B
14,2004,B
16,2001,A
16,2002,A
16,2003,A
16,2004,A
16,2005,A
17,2001,B
17,2002,B
17,2003,B
17,2004,B
17,2005,B
18,2001,B
18,2002,B
18,2003,B
19,2001,H
19,2002,H
19,2003,H
19,2004,H
19,2005,H
19,2006,H
20,2001,H
20,2002,H
20,2003,H
21,2004,H
22,2004,B
23,2002,H
23,2003,H
23,2004,H
23,2005,H
23,2006,H
23,2007,H
24,2001,A
24,2002,A
25,2001,A
25,2002,A
25,2004,A
25,2005,A
25,2006,A
27,2007,B
28,2001,B
29,2005,A
29,2006,A
29,2007,A
30,2001,H
30,2002,H
30,2003,H
30,2004,H
30,2005,H
30,2006,H
30,2007,H
31,2001,B
31,2002,B
31,2003,B
31,2004,B
31,2005,B
31,2006,B
31,2007,B
32,2001,H
32,2002,H
32,2005,H
32,2006,H
32,2007,H
34,2006,A
35,2001,B
35,2002,B
36,2001,B
37,2002,A
37,2003,A
37,2004,A
37,2005,A
37,2006,A
37,2007,A
38,2001,B
38,2002,B
38,2003,B
38,2004,B
38,2005,B
38,2006,B
38,2007,B
40,2001,H
40,2002,H
40,2003,H
41,2002,B
41,2003,B
41,2004,B
41,2005,B
41,2006,B
41,2007,B
42,2004,A
42,2005,A
43,2003,W
43,2004,W
43,2005,W
43,2006,W
43,2007,W
44,2003,B
44,2004,B
44,2005,B
44,2006,B
44,2007,B
45,2004,B
45,2005,B
45,2006,B
45,2007,B
46,2005,A
46,2006,A
46,2007,A
48,2005,NA
48,2006,B
48,2007,B
49,2005,B
49,2006,B
49,2007,B
50,2006,B
50,2007,B
51,2006,B
51,2007,B
52,2007,H
53,2007,H
54,2007,W
56,2001,B
56,2002,B
57,2001,B
58,2001,B
58,2002,B
58,2003,B
59,2002,W
59,2003,W
61,2001,B
61,2002,B
61,2003,B
61,2004,B
62,2001,W
62,2002,W
63,2001,B
63,2002,B
63,2004,B
64,2001,B
64,2002,B
64,2003,B
64,2004,B
64,2005,B
66,2001,B
66,2002,B
66,2003,B
66,2004,B
66,2005,B
