sid,school_year,grade_level,frpl
1,2004,9,N
1,2005,9,N
1,2006,10,R
1,2007,11,R
2,2006,10,F
2,2007,11,F
3,2006,10,F
3,2007,8,F
3,2007,9,F
4,2005,11,N
4,2006,10,N
4,2007,9,N
5,2007,2,R
5,2007,3,R
9,2001,11,F
11,2001,11,N
11,2002,12,N
12,2001,10,F
12,2003,12,F
13,2001,10,F
13,2002,11,R
13,2003,12,F
14,2002,10,F
14,2003,10,N
14,2004,10,F
16,2001,9,N
16,2002,10,F
16,2003,11,F
16,2004,12,N
17,2001,7,F
17,2002,9,F
17,2003,10,R
17,2004,11,N
17,2005,12,F
18,2001,9,F
18,2002,10,R
18,2003,11,F
19,2001,8,F
19,2002,9,F
19,2003,10,F
19,2004,11,F
19,2005,12,R
20,2001,8,N
20,2002,9,N
20,2003,10,N
21,2004,11,F
22,2004,11,N
23,2002,8,N
23,2003,9,F
23,2004,9,F
23,2004,10,F
23,2005,11,R
23,2006,12,R
24,2001,7,N
24,2002,8,N
25,2001,8,F
25,2002,9,F
25,2004,11,F
25,2005,12,F
27,2007,10,F
28,2001,6,F
29,2005,10,F
29,2006,11,F
29,2007,12,F
30,2001,5,F
30,2002,6,F
30,2003,7,F
30,2004,8,F
30,2005,9,F
30,2006,10,R
30,2007,9,R
30,2007,11,F
31,2001,5,R
31,2002,6,R
31,2003,7,F
31,2004,8,F
31,2005,9,F
31,2006,10,F
31,2007,11,F
32,2001,5,F
32,2002,6,F
32,2005,9,F
32,2006,10,F
32,2007,11,F
34,2006,9,N
35,2001,4,F
35,2002,5,R
36,2001,3,N
37,2002,4,R
37,2003,5,R
37,2004,6,F
37,2005,7,F
37,2006,8,F
37,2007,9,F
38,2001,3,R
38,2002,4,R
38,2003,5,F
38,2004,6,F
38,2005,7,F
38,2006,8,F
38,2007,9,R
40,2001,3,F
40,2002,4,F
40,2003,5,F
41,2002,3,F
41,2003,4,N
41,2004,5,N
41,2005,6,N
41,2006,7,N
41,2007,8,N
42,2004,5,R
42,2005,6,F
43,2003,3,N
43,2004,4,N
43,2005,5,N
43,2006,6,N
43,2007,7,N
44,2003,3,F
44,2004,3,F
44,2005,4,F
44,2006,5,R
44,2007,6,F
45,2004,3,R
45,2005,4,F
45,2006,5,R
45,2007,6,F
46,2005,3,F
46,2006,4,F
46,2007,5,F
48,2005,3,R
48,2006,4,N
48,2007,5,F
49,2005,3,F
49,2006,4,F
49,2007,5,F
50,2006,3,F
50,2007,4,N
51,2006,3,N
51,2007,4,R
52,2007,3,F
53,2007,3,F
54,2007,3,N
56,2001,12,F
57,2001,10,F
58,2001,10,N
58,2002,10,N
58,2003,12,N
59,2002,12,R
61,2001,10,F
61,2002,11,F
61,2003,12,R
62,2001,10,F
62,2002,11,N
63,2001,9,F
63,2002,10,F
63,2004,10,F
64,2001,9,F
64,2002,10,F
64,2003,10,F
64,2004,11,N
66,2001,8,F
66,2002,9,F
66,2003,10,F
66,2004,11,R
66,2005,12,F
67,2002,9,F
68,2001,8,N
68,2002,9,N
68,2003,9,R
68,2004,9,N
68,2005,11,N
69,2001,6,F
69,2002,7,R
69,2003,8,F
69,2004,9,R
69,2007,12,N
70,2001,7,N
72,2001,7,F
72,2002,8,F
72,2003,9,F
72,2004,10,F
72,2005,10,F
72,2006,10,F
72,2007,11,R
73,2001,6,F
73,2002,7,R
73,2003,8,F
73,2004,9,F
73,2006,11,F
73,2007,11,F
74,2001,6,R
74,2002,7,F
74,2003,8,F
74,2004,9,F
74,2005,10,F
74,2006,11,R
74,2007,11,F
76,2002,6,R
77,2001,4,F
77,2001,5,F
77,2002,6,F
77,2003,7,F
77,2004,8,F
77,2005,9,F
77,2006,10,F
77,2007,11,F
78,2001,5,F
78,2002,6,R
78,2003,7,F
78,2004,8,F
78,2005,9,F
78,2006,10,F
78,2007,11,F
79,2002,6,F
79,2007,11,N
81,2007,11,F
82,2001,4,R
82,2002,5,F
82,2003,6,F
82,2004,7,F
82,2005,8,F
82,2006,9,F
82,2007,10,N
83,2003,6,N
83,2004,7,N
83,2005,8,N
83,2006,9,N
83,2007,10,N
84,2001,3,F
84,2002,4,F
84,2003,5,F
84,2004,6,F
84,2005,7,F
84,2006,8,N
84,2007,9,F
86,2001,3,F
86,2002,4,F
86,2003,5,F
86,2004,6,R
86,2005,7,F
86,2006,8,F
86,2007,9,N
87,2003,5,N
88,2002,3,R
88,2003,4,R
88,2004,5,N
88,2005,6,N
88,2006,7,F
88,2007,8,F
89,2002,3,N
90,2002,3,F
90,2003,4,F
92,2003,3,N
92,2004,4,N
92,2005,5,N
92,2006,6,N
92,2007,7,N
93,2003,3,F
94,2003,3,F
94,2004,4,N
94,2005,5,N
94,2006,6,F
94,2007,7,F
96,2004,3,F
96,2005,4,F
96,2006,5,F
96,2007,6,F
97,2005,3,N
97,2006,4,N
97,2007,5,F
98,2005,3,R
98,2006,4,F
98,2007,5,F
99,2005,3,F
99,2006,4,N
99,2007,5,F
100,2005,3,N
100,2006,4,N
100,2007,5,N
102,2006,3,N
102,2007,4,N
103,2006,3,F
103,2007,4,F
104,2007,3,R
105,2007,3,F
109,2001,10,R
110,2001,12,F
111,2001,11,F
111,2002,12,F
112,2001,11,F
112,2002,12,F
113,2001,10,N
113,2002,11,N
113,2003,12,N
115,2001,10,N
115,2002,11,N
115,2003,12,N
116,2001,9,R
116,2002,10,N
116,2003,11,R
116,2004,11,R
117,2001,9,F
117,2002,10,F
117,2003,10,R
117,2004,10,F
118,2003,10,N
118,2004,10,F
119,2001,9,R
121,2003,10,N
122,2001,8,F
123,2004,10,R
124,2001,7,F
124,2002,8,F
124,2003,9,F
124,2004,10,F
124,2005,11,R
124,2006,12,R
125,2001,6,F
125,2002,7,F
125,2005,10,N
125,2006,11,F
125,2007,12,N
127,2001,7,F
127,2002,8,R
127,2003,9,F
127,2004,10,F
127,2005,11,F
127,2006,12,N
128,2001,6,F
128,2002,7,F
128,2003,8,F
128,2004,9,F
128,2005,10,F
128,2006,10,N
129,2005,10,N
130,2001,6,F
130,2002,7,N
130,2003,8,N
130,2004,9,N
130,2005,10,R
130,2006,10,F
130,2007,11,F
132,2001,5,R
132,2002,6,F
132,2003,7,F
132,2004,8,F
132,2005,9,N
132,2006,10,F
132,2007,11,N
133,2001,5,N
133,2002,6,N
134,2001,5,F
134,2002,6,F
134,2003,7,F
134,2004,8,F
134,2005,9,F
135,2005,7,N
135,2006,9,N
135,2007,10,N
137,2003,6,F
