sid,school_year,grade_level,ever_frpl
1,2004,9,1
1,2005,9,1
1,2006,10,1
1,2007,11,1
2,2006,10,1
2,2007,11,1
3,2006,10,1
3,2007,9,1
4,2005,11,0
4,2006,10,0
4,2007,9,0
5,2007,3,1
9,2001,11,1
11,2001,11,0
11,2002,12,0
12,2001,10,1
12,2003,12,1
13,2001,10,1
13,2002,11,1
13,2003,12,1
14,2002,10,1
14,2003,10,1
14,2004,10,1
16,2001,9,1
16,2002,10,1
16,2003,11,1
16,2004,12,1
17,2001,7,1
17,2002,9,1
17,2003,10,1
17,2004,11,1
17,2005,12,1
18,2001,9,1
18,2002,10,1
18,2003,11,1
19,2001,8,1
19,2002,9,1
19,2003,10,1
19,2004,11,1
19,2005,12,1
20,2001,8,0
20,2002,9,0
20,2003,10,0
21,2004,11,1
22,2004,11,0
23,2002,8,1
23,2003,9,1
23,2004,10,1
23,2005,11,1
23,2006,12,1
24,2001,7,0
24,2002,8,0
25,2001,8,1
25,2002,9,1
25,2004,11,1
25,2005,12,1
27,2007,10,1
28,2001,6,1
29,2005,10,1
29,2006,11,1
29,2007,12,1
30,2001,5,1
30,2002,6,1
30,2003,7,1
30,2004,8,1
30,2005,9,1
30,2006,10,1
30,2007,11,1
31,2001,5,1
31,2002,6,1
31,2003,7,1
31,2004,8,1
31,2005,9,1
31,2006,10,1
31,2007,11,1
32,2001,5,1
32,2002,6,1
32,2005,9,1
32,2006,10,1
32,2007,11,1
34,2006,9,0
35,2001,4,1
35,2002,5,1
36,2001,3,0
37,2002,4,1
37,2003,5,1
37,2004,6,1
37,2005,7,1
37,2006,8,1
37,2007,9,1
38,2001,3,1
38,2002,4,1
38,2003,5,1
38,2004,6,1
38,2005,7,1
38,2006,8,1
38,2007,9,1
40,2001,3,1
40,2002,4,1
40,2003,5,1
41,2002,3,1
41,2003,4,1
41,2004,5,1
41,2005,6,1
41,2006,7,1
41,2007,8,1
42,2004,5,1
42,2005,6,1
43,2003,3,0
43,2004,4,0
43,2005,5,0
43,2006,6,0
43,2007,7,0
44,2003,3,1
44,2004,3,1
44,2005,4,1
44,2006,5,1
44,2007,6,1
45,2004,3,1
45,2005,4,1
45,2006,5,1
45,2007,6,1
46,2005,3,1
46,2006,4,1
46,2007,5,1
48,2005,3,1
48,2006,4,1
48,2007,5,1
49,2005,3,1
49,2006,4,1
49,2007,5,1
50,2006,3,1
50,2007,4,1
51,2006,3,1
51,2007,4,1
52,2007,3,1
53,2007,3,1
54,2007,3,0
56,2001,12,1
57,2001,10,1
58,2001,10,0
58,2002,10,0
58,2003,12,0
59,2002,12,1
61,2001,10,1
61,2002,11,1
61,2003,12,1
62,2001,10,1
62,2002,11,1
63,2001,9,1
63,2002,10,1
63,2004,10,1
64,2001,9,1
64,2002,10,1
64,2003,10,1
64,2004,11,1
66,2001,8,1
66,2002,9,1
66,2003,10,1
66,2004,11,1
66,2005,12,1
67,2002,9,1
68,2001,8,1
68,2002,9,1
68,2003,9,1
68,2004,9,1
68,2005,11,1
69,2001,6,1
69,2002,7,1
69,2003,8,1
69,2004,9,1
69,2007,12,1
70,2001,7,0
72,2001,7,1
72,2002,8,1
72,2003,9,1
72,2004,10,1
72,2005,10,1
72,2006,10,1
72,2007,11,1
73,2001,6,1
73,2002,7,1
73,2003,8,1
73,2004,9,1
73,2006,11,1
73,2007,11,1
74,2001,6,1
74,2002,7,1
74,2003,8,1
74,2004,9,1
74,2005,10,1
74,2006,11,1
74,2007,11,1
76,2002,6,1
77,2001,5,1
77,2002,6,1
77,2003,7,1
77,2004,8,1
77,2005,9,1
77,2006,10,1
77,2007,11,1
78,2001,5,1
